"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"351",14,"Erick All Jr.",CIN,"TE48","6","-","-","3 out of 5 stars","+217"
"352",14,"Dallas Cowboys",DAL,"DST23","14","-","-","1 out of 5 stars","-137"
"353",14,"Brenen Thompson",LAC,"WR124","7","-","-","2 out of 5 stars","+112"
"354",14,"Treylon Burks",WAS,"WR125","7","-","-","2 out of 5 stars","+160"
"355",14,"Ty Simpson",LAR,"QB39","11","-","-","3 out of 5 stars","-77"
"356",14,"Justin Fields",KC,"QB40","5","-","-","2 out of 5 stars","-39"
"357",14,"Bryce Lance",NO,"WR126","8","-","-","3 out of 5 stars","+161"
"358",14,"Kendrick Bourne",ARI,"WR127","14","-","-","2 out of 5 stars","+173"
"359",14,"Eli Raridon",NE,"TE49","11","-","-","4 out of 5 stars","+17"
"360",14,"Raheim Sanders",CLE,"RB103","11","-","-","3 out of 5 stars","+107"
"361",14,"Michael Carter",TEN,"RB104","9","-","-","3 out of 5 stars","-"
"362",14,"Tyler Bass",BUF,"K19","7","-","-","2 out of 5 stars","-108"
"363",14,"Justin Joly",DEN,"TE50","10","-","-","4 out of 5 stars","+150"
"364",14,"Tampa Bay Buccaneers",TB,"DST24","10","-","-","4 out of 5 stars","-112"
"365",14,"Jake Elliott",PHI,"K20","10","-","-","5 out of 5 stars","-125"
"366",14,"Darren Waller",CAR,"TE51","5","-","-","2 out of 5 stars","+197"
"367",14,"Savion Williams",GB,"WR128","11","-","-","5 out of 5 stars","-"
"368",14,"New York Giants",NYG,"DST25","8","-","-","1 out of 5 stars","-142"
"369",14,"John Metchie III",CAR,"WR129","5","-","-","2 out of 5 stars","-74"
"370",14,"Tutu Atwell",MIA,"WR130","6","-","-","3 out of 5 stars","+53"
"371",14,"Jawhar Jordan",HOU,"RB105","8","-","-","4 out of 5 stars","+84"
"372",14,"Noah Fant",NO,"TE52","8","-","-","2 out of 5 stars","+86"
"373",14,"Nick Chubb",FA,"RB106","-","-","-","-","+36"
"374",14,"Dont'e Thornton Jr.",LV,"WR131","13","-","-","2 out of 5 stars","+147"
"375",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+84"
"376",14,"Jaylin Lane",WAS,"WR132","7","-","-","2 out of 5 stars","+146"
"377",14,"Cincinnati Bengals",CIN,"DST26","6","-","-","4 out of 5 stars","-111"
"378",14,"Kevin Coleman Jr.",MIA,"WR133","6","-","-","3 out of 5 stars","+115"
"379",14,"Xavier Hutchinson",HOU,"WR134","8","-","-","3 out of 5 stars","+144"
"380",14,"J'Mari Taylor",JAC,"RB107","7","-","-","4 out of 5 stars","-"
"381",14,"Phil Mafah",DAL,"RB108","14","-","-","4 out of 5 stars","+239"
"382",14,"Zane Gonzalez",MIA,"K21","6","-","-","2 out of 5 stars","-3"
"383",14,"Charlie Kolar",LAC,"TE53","7","-","-","4 out of 5 stars","-"
"384",14,"KaVontae Turpin",DAL,"WR135","14","-","-","2 out of 5 stars","-38"
"385",14,"Trey Smack",GB,"K22","11","-","-","4 out of 5 stars","-115"
"386",14,"Luke Musgrave",GB,"TE54","11","-","-","2 out of 5 stars","-22"
"387",14,"Kalif Raymond",CHI,"WR136","10","-","-","3 out of 5 stars","-18"
"388",14,"Nick Folk",ATL,"K23","11","-","-","0 out of 5 stars","-115"
"389",14,"Blake Grupe",IND,"K24","13","-","-","4 out of 5 stars","-122"
"390",14,"Tennessee Titans",TEN,"DST27","9","-","-","2 out of 5 stars","-137"
"391",14,"Tommy Tremble",CAR,"TE55","5","-","-","2 out of 5 stars","-6"
"392",14,"Nick Westbrook-Ikhine",IND,"WR137","13","-","-","4 out of 5 stars","+109"
"393",14,"Ben Sinnott",WAS,"TE56","7","-","-","1 out of 5 stars","-"
"394",14,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-82"
"395",14,"CJ Daniels",LAR,"WR138","11","-","-","1 out of 5 stars","+82"
"396",14,"Zavion Thomas",CHI,"WR139","10","-","-","3 out of 5 stars","0"
"397",14,"Ashton Dulin",IND,"WR140","13","-","-","4 out of 5 stars","-"
"398",14,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-84"
"399",14,"Jordan Whittington",LAR,"WR141","11","-","-","1 out of 5 stars","-33"
"400",14,"Malik Benson",LV,"WR142","13","-","-","2 out of 5 stars","+69"
"401",14,"Mitchell Evans",CAR,"TE57","5","-","-","2 out of 5 stars","+148"
"402",14,"Devontez Walker",BAL,"WR143","13","-","-","4 out of 5 stars","-44"
"403",14,"Miami Dolphins",MIA,"DST28","6","-","-","3 out of 5 stars","-102"
"404",14,"Kyle Juszczyk",SF,"RB109","8","-","-","2 out of 5 stars","-49"
"405",14,"Daniel Bellinger",TEN,"TE58","9","-","-","3 out of 5 stars","+105"
"406",14,"John Bates",WAS,"TE59","7","-","-","1 out of 5 stars","-"
"407",14,"Austin Ekeler",FA,"RB110","-","-","-","-","-"
"408",14,"Dameon Pierce",PHI,"RB111","10","-","-","4 out of 5 stars","-"
"409",14,"Daniel Carlson",LV,"K25","13","-","-","1 out of 5 stars","+143"
"410",14,"Roschon Johnson",CHI,"RB112","10","-","-","2 out of 5 stars","+86"
"411",14,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","+59"
"412",15,"Brandon McManus",FA,"K26","-","-","-","-","+37"
"413",15,"Roman Wilson",PIT,"WR144","9","-","-","3 out of 5 stars","-57"
"414",15,"Ben Sauls",NYG,"K27","8","-","-","2 out of 5 stars","-85"
"415",15,"Jake Moody",WAS,"K28","7","-","-","5 out of 5 stars","-85"
"416",15,"Chad Ryland",ARI,"K29","14","-","-","2 out of 5 stars","-71"
"417",15,"Spencer Shrader",IND,"K30","13","-","-","4 out of 5 stars","-67"
"418",15,"Rasheen Ali",BAL,"RB113","13","-","-","3 out of 5 stars","-"
"419",15,"New York Jets",NYJ,"DST29","13","-","-","4 out of 5 stars","-109"
"420",15,"Jam Miller",NE,"RB114","11","-","-","2 out of 5 stars","+207"
"421",15,"Damien Martinez",GB,"RB115","11","-","-","4 out of 5 stars","+201"
"422",15,"Joe Milton III",DAL,"QB45","14","-","-","2 out of 5 stars","-50"
"423",15,"Sione Vaki",DET,"RB116","6","-","-","5 out of 5 stars","+125"
"424",15,"Joey Slye",TEN,"K31","9","-","-","4 out of 5 stars","-64"
"425",15,"Deion Burks",IND,"WR145","13","-","-","4 out of 5 stars","-"
"426",15,"Ryan Fitzgerald",CAR,"K32","5","-","-","0 out of 5 stars","-92"
"427",15,"Austin Hooper",ATL,"TE60","11","-","-","3 out of 5 stars","+140"
"428",15,"Las Vegas Raiders",LV,"DST30","13","-","-","4 out of 5 stars","-156"
"429",15,"Zach Ertz",FA,"TE61","-","-","-","-","-"
