"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"34",5,"Mason Taylor",NYJ,"13","2 out of 5","4 out of 5","4 out of 5 stars","-1"
"35",5,"Theo Johnson",NYG,"8","1 out of 5","4 out of 5","3 out of 5 stars","+2"
"36",5,"Greg Dulcich",MIA,"6","4 out of 5","4 out of 5","5 out of 5 stars","-10"
"37",5,"Mike Gesicki",CIN,"6","-","-","3 out of 5 stars","+4"
"38",6,"Jake Tonges",SF,"8","-","-","3 out of 5 stars","-6"
"39",6,"Darnell Washington",PIT,"9","-","-","2 out of 5 stars","-5"
"40",6,"Elijah Arroyo",SEA,"11","-","-","3 out of 5 stars","-1"
"41",6,"Tyler Higbee",LAR,"11","-","-","4 out of 5 stars","-1"
"42",6,"Michael Mayer",LV,"13","-","-","3 out of 5 stars","+10"
"43",6,"Max Klare",LAR,"11","-","-","4 out of 5 stars","+2"
"44",6,"Cole Kmet",CHI,"10","-","-","2 out of 5 stars","-9"
"45",6,"Noah Gray",KC,"5","-","-","4 out of 5 stars","+9"
"46",6,"Ja'Tavion Sanders",CAR,"5","-","-","2 out of 5 stars","+23"
"47",6,"Dawson Knox",BUF,"7","-","-","3 out of 5 stars","-9"
"48",6,"Erick All Jr.",CIN,"6","-","-","3 out of 5 stars","-"
"49",6,"Eli Raridon",NE,"11","-","-","4 out of 5 stars","-1"
"50",6,"Justin Joly",DEN,"10","-","-","4 out of 5 stars","+25"
"51",7,"Noah Fant",NO,"8","-","-","2 out of 5 stars","+8"
"52",7,"Darren Waller",CAR,"5","-","-","2 out of 5 stars","-"
"53",7,"Luke Musgrave",GB,"11","-","-","2 out of 5 stars","-3"
"54",7,"Mitchell Evans",CAR,"5","-","-","2 out of 5 stars","+20"
"55",7,"Ben Sinnott",WAS,"7","-","-","1 out of 5 stars","-"
"56",7,"Tommy Tremble",CAR,"5","-","-","2 out of 5 stars","0"
"57",7,"Charlie Kolar",LAC,"7","-","-","4 out of 5 stars","-"
"58",7,"John Bates",WAS,"7","-","-","1 out of 5 stars","-"
"59",7,"Daniel Bellinger",TEN,"9","-","-","3 out of 5 stars","+14"
"60",7,"Austin Hooper",ATL,"11","-","-","3 out of 5 stars","-"
"61",7,"Jackson Hawes",BUF,"7","-","-","3 out of 5 stars","-"
"62",7,"Marlin Klein",HOU,"8","-","-","4 out of 5 stars","+14"
"63",7,"Zach Ertz",FA,"-","-","-","-","-"
"64",7,"Elijah Higgins",ARI,"14","-","-","2 out of 5 stars","-15"
"65",8,"Josh Oliver",MIN,"6","-","-","4 out of 5 stars","-4"
